genre,rate,metascore,votes,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_nominated,Screen_Actors_Guild_nominated,Critics_Choice_nominated,Directors_Guild_nominated,Producers_Guild_nominated,Art_Directors_Guild_nominated,Writers_Guild_nominated,Costume_Designers_Guild_nominated,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_nominated,People_Choice_nominated,London_Critics_Circle_Film_nominated
Comedy|Romance,6.4000001,45,163275,359,137,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror,6,31,62657,925,207,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Romance,5.0999999,45,70125,242,111,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy,6.4000001,43,205011,433,140,1832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Drama|War,8.5,85,523908,772,192,617,19,7,2,7,1,2,1,0,0,0,0,1,2,0,0
Action|Adventure|Fantasy,6.19999981,39,110053,571,137,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Adventure|Sci-Fi,6.4000001,51,60394,846,170,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama|Fantasy,5.9000001,48,111606,429,108,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Romance,6.19999981,45,85921,394,71,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama|Thriller,7.69999981,72,205911,1014,228,1323,24,6,1,3,0,3,0,1,1,0,1,3,4,0,4
Comedy,5.30000019,29,123011,551,127,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama,7.19999981,85,109795,615,216,3543,33,2,5,1,2,4,0,0,0,1,1,3,4,0,2
Crime|Drama|Thriller,6.80000019,65,212089,857,235,1901,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Drama|Mystery|Romance,7.0999999,84,24349,200,149,1233,4,1,1,1,0,0,0,0,0,0,0,0,0,0,2
Action|Mystery|Thriller,7.9000001,68,425154,860,247,1031,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Comedy|Family|Romance,6.5999999,62,105047,760,165,1760,15,1,2,0,1,2,0,2,0,1,0,3,1,1,1
Fantasy|Mystery|Romance,6.9000001,45,211486,1252,154,1328,7,1,2,0,1,2,0,0,0,0,0,1,0,0,0
Comedy,6.9000001,51,131114,866,182,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror|Mystery,6.0999999,49,90102,991,190,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Crime|Drama,8,76,561318,675,195,546,16,2,1,4,1,3,0,0,1,0,0,3,2,0,0
Drama|History|War,7.69999981,74,301185,1113,200,575,10,4,0,3,0,0,1,0,1,1,0,3,0,0,0
Comedy|Drama|Romance,6.80000019,47,174854,515,125,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Family|Sport,7,72,27092,174,90,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Comedy|Drama,7.5999999,76,216309,966,224,1619,16,1,1,1,0,1,0,0,1,1,1,4,3,0,0
Animation|Adventure|Comedy,8.10000038,90,727319,870,302,497,21,4,1,2,0,2,0,0,0,0,0,11,1,0,1
Action|Crime|Thriller,8.10000038,69,765424,2123,356,656,30,0,1,5,0,0,0,0,1,0,1,11,10,0,0
Action|Comedy|Crime,6.5999999,48,164878,396,128,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Crime|Thriller,7.0999999,63,123967,362,141,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure|Comedy|Family,4.9000001,35,73819,521,137,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Drama,7.69999981,83,147224,712,242,2404,45,4,6,4,3,4,0,1,0,1,0,7,10,0,3
Animation|Adventure|Comedy,7.5999999,60,339723,468,190,2411,4,1,0,0,0,1,0,0,0,0,0,2,1,0,0
Animation|Action|Adventure,6,65,24802,119,66,567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sci-Fi|Adventure|Action,5.9000001,42,105871,622,124,1824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Drama,8.19999981,72,640458,1181,204,598,31,8,6,5,3,5,1,1,0,1,0,5,2,0,1
Drama|Romance,7.5999999,81,104612,660,173,2197,51,9,7,11,4,4,1,0,1,1,0,11,0,0,6
Comedy|Drama|Romance,7.0999999,63,69732,394,163,1207,5,0,1,0,0,0,0,0,0,0,0,1,2,0,0
Animation|Adventure|Comedy,7.19999981,73,122802,368,178,1749,6,1,0,0,0,1,0,0,0,0,0,4,1,0,0
Comedy|Drama|Romance,7.0999999,75,147188,395,159,2222,12,1,2,2,0,1,0,0,0,1,1,1,0,0,2
Drama,7.5999999,28,124720,436,129,2468,5,1,0,0,2,2,0,0,0,0,0,1,0,0,0
Action|Adventure|Fantasy,5.5,45,105396,435,165,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy,5.69999981,32,82255,395,97,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Drama|History,7.0999999,65,106625,746,144,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
